11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7,12,11, 7, 7, 7, 7, 7, 7, 7, 7 ,7, 7, 7, 7,12
10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
10, 0,11, 7, 7,12, 0,11, 7, 7, 7,12, 0,10, 8, 0,11, 7, 7, 7,12, 0,11, 7, 7,12, 0, 8
10, 0,10, 0, 0, 8, 0,10, 0, 0, 0, 8, 0,10, 8, 0,10, 0, 0, 0, 8, 0,10, 0, 0, 8, 0, 8
10, 0,14, 9, 9,13, 0,14, 9, 9, 9,13, 0,14,13, 0,14, 9, 9, 9,13, 0,14, 9, 9,13, 0, 8
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
10, 0,11, 7, 7,12, 0,11,12, 0,11, 7, 7, 7, 7, 7, 7,12, 0,11,12, 0,11, 7, 7,12, 0, 8
10, 0,14, 9, 9,13, 0,10, 8, 0,14, 9, 9,12,11, 9, 9,13, 0,10, 8, 0,14, 9, 9,13, 0, 8
10, 0, 0, 0, 0, 0, 0,10, 8, 0, 0, 0, 0,10, 8, 0, 0, 0, 0,10, 8, 0, 0, 0, 0, 0, 0, 8
14, 7, 7, 7, 7,12, 0,10,14, 7, 7,12, 0,10, 8, 0,11, 7, 7,13, 8, 0,11, 7, 7, 7, 7,13
 0, 0, 0, 0, 0, 8, 0,10,11, 9, 9,13, 0,14,13, 0,14, 9, 9,12, 8, 0,10, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 8, 0,10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0,10, 8, 0,10, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 8, 0,10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 8, 0,10, 0, 0, 0, 0, 0
11, 9, 9, 9, 9,13, 0,14,13, 0,11, 7, 7, 7, 7, 7, 7,12, 0,14,13, 0,14, 9, 9, 9, 9,12
10, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
14, 7, 7, 7, 7,12, 0,11,12, 0,10, 0, 0, 0, 0, 0, 0, 8, 0,11,12, 0,11, 7, 7, 7, 7,13
 0, 0, 0, 0, 0, 8, 0,10, 8, 0,14, 9, 9, 9, 9, 9, 9,13, 0,10, 8, 0,10, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 8, 2,10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 8, 4,10, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 8, 0,10, 8, 0,11, 7, 7, 7, 7, 7, 7,12, 0,10, 8, 0,10, 0, 0, 0, 0, 0
11, 9, 9, 9, 9,13, 0,14,13, 0,14, 9, 9,12,11, 9, 9,13, 0,14,13, 0,14, 9, 9, 9, 9,12
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
10, 0,11, 7, 7,12, 0,11, 7, 7, 7,12, 0,10, 8, 0,11, 7, 7, 7,12, 0,11, 7, 7,12, 0, 8
10, 0,14, 9,12, 8, 0,14, 9, 9, 9,13, 0,14,13, 0,14, 9, 9, 9,13, 0,10,11, 9,13, 0, 8
10, 0, 0, 0,10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 8, 0, 0, 0, 8
14, 7,12, 0,10, 8, 0,11,12, 0,11, 7, 7, 7, 7, 7, 7,12, 0,11,12, 0,10, 8, 0,11, 7,13
11, 9,13, 0,14,13, 0,10, 8, 0,14, 9, 9,12,11, 9, 9,13, 0,10, 8, 0,14,13, 0,14, 9,12
10, 0, 0, 0, 0, 0, 0,10, 8, 0, 5, 0, 0,10, 8, 0 ,0 ,0 ,0,10, 8, 0, 0, 0, 0, 0, 0, 8
10, 0,11, 7, 7, 7, 7,13,14, 7, 7,12, 0,10, 8, 0,11, 7, 7,13,14, 7, 7, 7, 7,12, 0, 8
10, 0,14, 9, 9, 9, 9, 9, 9, 9, 9,13, 0,14,13, 0,14, 9, 9, 9, 9, 9, 9, 9, 9,13, 0, 8
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
14, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9,13
